category,source_result,revision,tracking_segment,metric,value,outcome,notes
FRONT_TO_REAR,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,2,surface_gap_m_at_switch,1.1499855829162304,FRONT->REAR,direct sensor-driven motion-prow switch; no prediction authority
FRONT_TO_REAR,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,5,surface_gap_m_at_switch,1.4380669378839497,FRONT->REAR,direct sensor-driven motion-prow switch
FRONT_TO_REAR,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,6,surface_gap_m_at_switch,1.647163071632385,FRONT->REAR,direct sensor-driven motion-prow switch
DROPOUT_RECOVERED_SAME_PROW,NUOVOFOLLOW2_0_operator_session_20260916_155358_49660_RESULTS_candidate_clean.zip,R5_continuity_transport_recovery,6,max_prediction_age_s,0.10561513900756836,CURRENT_DIRECT_SENSOR resumed,bounded predicted continuity followed by direct sensing; no motion-prow switch
DROPOUT_RECOVERED_SAME_PROW,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,3,max_prediction_age_s,0.41257405281066895,CURRENT_DIRECT_SENSOR resumed,bounded predicted continuity followed by direct sensing; no motion-prow switch
DROPOUT_RECOVERED_SAME_PROW,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,4,max_prediction_age_s,0.12914705276489258,CURRENT_DIRECT_SENSOR resumed,bounded predicted continuity followed by direct sensing; no motion-prow switch
TRUE_LOST_REACQUIRE,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,1,reacquisition_latency_s,3.4994754791259766,TRACK_LOCKED reacquired,POSITIVE_TRACK_LOST_COMMIT_LAST_SEEN -> R22_FRESH_IDENTITY_PREEMPTS_SEARCH
TRUE_LOST_REACQUIRE,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,2,reacquisition_latency_s,13.364856243133545,TRACK_LOCKED reacquired,POSITIVE_TRACK_LOST_COMMIT_LAST_SEEN -> R22_FRESH_IDENTITY_PREEMPTS_SEARCH
TRUE_LOST_REACQUIRE,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,3,reacquisition_latency_s,3.5894105434417725,TRACK_LOCKED reacquired,POSITIVE_TRACK_LOST_COMMIT_LAST_SEEN -> R22_FRESH_IDENTITY_PREEMPTS_SEARCH
TRUE_LOST_REACQUIRE,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,4,reacquisition_latency_s,9.339297771453857,TRACK_LOCKED reacquired,ROOM_WATCH_LOST_LAST_POSITIVE_DOOR_FIRST -> R22_FRESH_IDENTITY_PREEMPTS_SEARCH
TRUE_LOST_REACQUIRE,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,5,reacquisition_latency_s,30.633461713790894,TRACK_LOCKED reacquired,POSITIVE_TRACK_LOST_COMMIT_LAST_SEEN -> R22_FRESH_IDENTITY_PREEMPTS_SEARCH
TRUE_LOST_REACQUIRE,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,6,reacquisition_latency_s,4.972663879394531,TRACK_LOCKED reacquired,ROOM_WATCH_LOST_LAST_POSITIVE_DOOR_FIRST -> R22_FRESH_IDENTITY_PREEMPTS_SEARCH
TRUE_LOST_REACQUIRE,NUOVOFOLLOW2_0_operator_session_20260916_162642_63617_RESULTS_candidate_clean.zip,R6_door_approach_obstacle_escape,7,reacquisition_latency_s,30.147643327713013,TRACK_LOCKED reacquired,POSITIVE_TRACK_LOST_COMMIT_LAST_SEEN -> R22_FRESH_IDENTITY_PREEMPTS_SEARCH
